"timestamp","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel","sensor"
"2020-09-08T16:47:58.000Z","{""value"":27.43,""max"":32,""min"":22,""sd"":2.54}","{""value"":24.93,""max"":29,""min"":20,""sd"":2.41}","{""value"":17.07,""max"":19,""min"":14,""sd"":1.69}",,,,,,,,,,2
"2020-09-08T16:47:58.000Z","{""value"":29.1,""max"":39,""min"":19,""sd"":4.51}","{""value"":24.33,""max"":30,""min"":19,""sd"":2.7}","{""value"":16.83,""max"":20,""min"":13,""sd"":2.2}","{""value"":0,""max"":0.26,""min"":0,""sd"":0.04}","{""value"":17.53,""max"":19,""min"":15,""sd"":1.42}","{""value"":297.6,""max"":407,""min"":244,""sd"":41.72}","{""value"":25.17,""max"":25.43,""min"":24.84,""sd"":0.23}","{""value"":64.48,""max"":67.48,""min"":61.85,""sd"":1.75}","{""value"":902.88,""max"":903,""min"":902.74,""sd"":0.14}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.03}","{""value"":4.09,""max"":4.09,""min"":4.08,""sd"":0.05}","{""value"":5.91,""max"":6.21,""min"":4.89,""sd"":0.45}",
"2020-09-08T16:32:46.000Z","{""value"":25.2,""max"":30,""min"":22,""sd"":2.31}","{""value"":23.6,""max"":28,""min"":21,""sd"":1.99}","{""value"":16.53,""max"":20,""min"":15,""sd"":1.73}",,,,,,,,,,2
"2020-09-08T16:32:46.000Z","{""value"":32.4,""max"":40,""min"":26,""sd"":5.19}","{""value"":25.8,""max"":29,""min"":20,""sd"":2.24}","{""value"":15.87,""max"":17,""min"":14,""sd"":0.74}","{""value"":0,""max"":0.21,""min"":0,""sd"":0.04}","{""value"":16.18,""max"":18,""min"":15,""sd"":0.85}","{""value"":339.02,""max"":386,""min"":296,""sd"":20.85}","{""value"":24.58,""max"":24.84,""min"":24.33,""sd"":0.21}","{""value"":67.37,""max"":68.86,""min"":66.03,""sd"":0.79}","{""value"":903.19,""max"":903.31,""min"":902.96,""sd"":0.16}","{""value"":4.92,""max"":4.92,""min"":4.91,""sd"":0.03}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.06}","{""value"":5.95,""max"":6.32,""min"":4.94,""sd"":0.51}",
"2020-09-08T16:17:35.000Z","{""value"":25.23,""max"":31,""min"":20,""sd"":3.1}","{""value"":22.7,""max"":30,""min"":17,""sd"":3.02}","{""value"":15.7,""max"":19,""min"":13,""sd"":1.54}",,,,,,,,,,2
"2020-09-08T16:17:35.000Z","{""value"":33,""max"":45,""min"":25,""sd"":6.35}","{""value"":26.13,""max"":34,""min"":21,""sd"":4.15}","{""value"":16.3,""max"":20,""min"":11,""sd"":2.38}","{""value"":0,""max"":0,""min"":0,""sd"":0.01}","{""value"":19.47,""max"":21,""min"":18,""sd"":1.05}","{""value"":244.71,""max"":294,""min"":210,""sd"":23.63}","{""value"":24.22,""max"":24.36,""min"":24.11,""sd"":0.15}","{""value"":69.13,""max"":70.48,""min"":68.19,""sd"":0.7}","{""value"":903.4,""max"":903.5,""min"":903.29,""sd"":0.13}","{""value"":4.91,""max"":4.92,""min"":4.91,""sd"":0.03}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.05}","{""value"":5.82,""max"":6.19,""min"":4.91,""sd"":0.46}",
"2020-09-08T16:02:18.000Z","{""value"":25.73,""max"":33,""min"":21,""sd"":4.2}","{""value"":22.47,""max"":26,""min"":20,""sd"":2.29}","{""value"":15.93,""max"":19,""min"":13,""sd"":2.31}",,,,,,,,,,2
"2020-09-08T16:02:18.000Z","{""value"":26.6,""max"":38,""min"":21,""sd"":5.5}","{""value"":24.47,""max"":30,""min"":20,""sd"":3.29}","{""value"":16.53,""max"":18,""min"":16,""sd"":0.64}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":22.16,""max"":23,""min"":21,""sd"":0.75}","{""value"":200.26,""max"":215,""min"":187,""sd"":8.42}","{""value"":23.89,""max"":24.11,""min"":23.69,""sd"":0.18}","{""value"":71.29,""max"":73.02,""min"":69.45,""sd"":1.04}","{""value"":903.52,""max"":903.61,""min"":903.45,""sd"":0.13}","{""value"":4.91,""max"":4.92,""min"":4.91,""sd"":0.05}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.05}","{""value"":5.7,""max"":5.88,""min"":5.5,""sd"":0.17}",
"2020-09-08T15:47:06.000Z","{""value"":40.67,""max"":49,""min"":33,""sd"":2}","{""value"":34.07,""max"":37,""min"":31,""sd"":1.45}","{""value"":22.17,""max"":24,""min"":21,""sd"":0.88}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":21.19,""max"":22,""min"":21,""sd"":0.43}","{""value"":214.68,""max"":224,""min"":199,""sd"":5.54}","{""value"":23.32,""max"":23.67,""min"":23.11,""sd"":0.2}","{""value"":74.62,""max"":75.73,""min"":72.94,""sd"":0.8}","{""value"":903.68,""max"":903.79,""min"":903.55,""sd"":0.14}","{""value"":4.91,""max"":4.92,""min"":4.91,""sd"":0.05}","{""value"":4.08,""max"":4.09,""min"":4.08,""sd"":0.04}","{""value"":5.69,""max"":6,""min"":4.92,""sd"":0.41}",
"2020-09-08T15:47:06.000Z","{""value"":36.2,""max"":42,""min"":30,""sd"":1.96}","{""value"":30.5,""max"":36,""min"":26,""sd"":1.65}","{""value"":20.47,""max"":22,""min"":19,""sd"":1.01}",,,,,,,,,,2
