"timestamp","sensor","pm10","pm2.5","pm1","noise","illuminance","irradiance","temperature","humidity","presure","voltage","batery","panel"
"2020-09-11T16:09:43.000Z",,"{""value"":28.87,""max"":36,""min"":25,""sd"":2.65}","{""value"":27.73,""max"":31,""min"":25,""sd"":1.77}","{""value"":19.03,""max"":20,""min"":17,""sd"":0.87}","{""value"":0.21,""max"":0.53,""min"":0.13,""sd"":0.18}","{""value"":81.42,""max"":89,""min"":78,""sd"":2.84}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":27.85,""max"":27.98,""min"":27.7,""sd"":0.13}","{""value"":49.71,""max"":50.28,""min"":48.22,""sd"":0.54}","{""value"":899.71,""max"":899.93,""min"":899.51,""sd"":0.18}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.02}","{""value"":4.21,""max"":4.22,""min"":4.21,""sd"":0.02}","{""value"":0.02,""max"":0.03,""min"":0.01,""sd"":0.06}"
"2020-09-11T15:54:33.000Z",2,"{""value"":11.8,""max"":13,""min"":10,""sd"":0.86}","{""value"":10.53,""max"":11,""min"":10,""sd"":0.52}","{""value"":8.73,""max"":10,""min"":8,""sd"":0.8}",,,,,,,,,
"2020-09-11T15:54:33.000Z",,"{""value"":12.6,""max"":15,""min"":11,""sd"":1.24}","{""value"":11.87,""max"":15,""min"":11,""sd"":1.25}","{""value"":8.8,""max"":10,""min"":8,""sd"":0.56}","{""value"":0.21,""max"":1.41,""min"":0.14,""sd"":0.2}","{""value"":93.89,""max"":99,""min"":90,""sd"":2.95}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":27.6,""max"":27.76,""min"":27.46,""sd"":0.14}","{""value"":49.03,""max"":49.86,""min"":48.14,""sd"":0.6}","{""value"":899.94,""max"":900.01,""min"":899.87,""sd"":0.13}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.02}","{""value"":4.21,""max"":4.22,""min"":4.21,""sd"":0.03}","{""value"":0.02,""max"":0.03,""min"":0.01,""sd"":0.07}"
"2020-09-11T15:39:26.000Z",2,"{""value"":12.77,""max"":15,""min"":11,""sd"":1.14}","{""value"":12.63,""max"":14,""min"":10,""sd"":1.16}","{""value"":10.67,""max"":13,""min"":9,""sd"":1.19}",,,,,,,,,
"2020-09-11T15:39:26.000Z",,"{""value"":14.1,""max"":18,""min"":11,""sd"":1.58}","{""value"":13.7,""max"":17,""min"":11,""sd"":1.45}","{""value"":9.07,""max"":10,""min"":8,""sd"":0.9}","{""value"":0.26,""max"":1.63,""min"":0.14,""sd"":0.22}","{""value"":100.8,""max"":103,""min"":95,""sd"":1.51}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":27.34,""max"":27.46,""min"":27.23,""sd"":0.12}","{""value"":49.53,""max"":50.45,""min"":48.76,""sd"":0.48}","{""value"":900.08,""max"":900.16,""min"":899.96,""sd"":0.13}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.02}","{""value"":4.21,""max"":4.22,""min"":4.21,""sd"":0.05}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.07}"
"2020-09-11T15:24:19.000Z",,"{""value"":13.67,""max"":17,""min"":11,""sd"":1.63}","{""value"":13.33,""max"":17,""min"":11,""sd"":1.72}","{""value"":10.07,""max"":11,""min"":8,""sd"":1.03}","{""value"":0.28,""max"":1.47,""min"":0.13,""sd"":0.31}","{""value"":97.66,""max"":103,""min"":83,""sd"":5.08}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":27.13,""max"":27.24,""min"":27.04,""sd"":0.11}","{""value"":50.1,""max"":50.42,""min"":49.61,""sd"":0.36}","{""value"":900.23,""max"":900.37,""min"":900.13,""sd"":0.15}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.01}","{""value"":4.21,""max"":4.22,""min"":4.21,""sd"":0.05}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.06}"
"2020-09-11T15:24:19.000Z",2,"{""value"":14.73,""max"":17,""min"":13,""sd"":1.28}","{""value"":14.27,""max"":16,""min"":13,""sd"":1.16}","{""value"":10.93,""max"":13,""min"":9,""sd"":1.03}",,,,,,,,,
"2020-09-11T15:09:09.000Z",2,"{""value"":27.43,""max"":32,""min"":23,""sd"":2.79}","{""value"":26.9,""max"":31,""min"":23,""sd"":2.41}","{""value"":19.63,""max"":22,""min"":18,""sd"":1.3}",,,,,,,,,
"2020-09-11T15:09:09.000Z",,"{""value"":26.2,""max"":34,""min"":21,""sd"":2.88}","{""value"":25.67,""max"":32,""min"":21,""sd"":2.42}","{""value"":17.57,""max"":21,""min"":15,""sd"":1.37}","{""value"":0.24,""max"":0.7,""min"":0.14,""sd"":0.22}","{""value"":76.86,""max"":87,""min"":74,""sd"":3.35}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":26.82,""max"":27.05,""min"":26.57,""sd"":0.19}","{""value"":53.94,""max"":55.34,""min"":51.08,""sd"":1.02}","{""value"":900.49,""max"":900.57,""min"":900.34,""sd"":0.14}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.03}","{""value"":4.21,""max"":4.22,""min"":4.21,""sd"":0.05}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.06}"
"2020-09-11T14:54:02.000Z",2,"{""value"":45.2,""max"":48,""min"":41,""sd"":1.82}","{""value"":38.47,""max"":41,""min"":35,""sd"":1.46}","{""value"":26.07,""max"":28,""min"":24,""sd"":1.28}",,,,,,,,,
"2020-09-11T14:54:02.000Z",,"{""value"":45.4,""max"":52,""min"":41,""sd"":3.68}","{""value"":38.67,""max"":44,""min"":35,""sd"":2.79}","{""value"":24.2,""max"":27,""min"":23,""sd"":1.42}","{""value"":0.24,""max"":0.56,""min"":0.13,""sd"":0.19}","{""value"":78,""max"":94,""min"":72,""sd"":4.58}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":26.4,""max"":26.56,""min"":26.18,""sd"":0.16}","{""value"":55.87,""max"":57.95,""min"":54.77,""sd"":0.8}","{""value"":900.61,""max"":900.73,""min"":900.46,""sd"":0.15}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0}","{""value"":4.22,""max"":4.22,""min"":4.21,""sd"":0.05}","{""value"":0.01,""max"":0.02,""min"":0.01,""sd"":0.05}"
"2020-09-11T14:38:53.000Z",,"{""value"":27.2,""max"":33,""min"":24,""sd"":1.59}","{""value"":26.57,""max"":32,""min"":24,""sd"":1.46}","{""value"":17.83,""max"":20,""min"":16,""sd"":1.1}","{""value"":0.21,""max"":0.71,""min"":0.14,""sd"":0.18}","{""value"":82.02,""max"":88,""min"":78,""sd"":1.56}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.91,""max"":26.17,""min"":25.67,""sd"":0.2}","{""value"":57.92,""max"":59.63,""min"":56.91,""sd"":0.81}","{""value"":900.63,""max"":900.75,""min"":900.56,""sd"":0.14}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.02}","{""value"":4.22,""max"":4.22,""min"":4.21,""sd"":0.04}","{""value"":0.01,""max"":0.04,""min"":0.01,""sd"":0.04}"
"2020-09-11T14:38:53.000Z",2,"{""value"":27.67,""max"":32,""min"":22,""sd"":2.23}","{""value"":26.93,""max"":30,""min"":22,""sd"":1.73}","{""value"":19.47,""max"":22,""min"":16,""sd"":1.14}",,,,,,,,,
"2020-09-11T14:23:47.000Z",,"{""value"":42.4,""max"":43,""min"":41,""sd"":0.83}","{""value"":36.4,""max"":38,""min"":35,""sd"":0.91}","{""value"":23.4,""max"":24,""min"":23,""sd"":0.51}","{""value"":0.21,""max"":0.65,""min"":0.13,""sd"":0.2}","{""value"":85.16,""max"":86,""min"":84,""sd"":0.77}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.49,""max"":25.66,""min"":25.34,""sd"":0.15}","{""value"":59.76,""max"":60.44,""min"":59.44,""sd"":0.39}","{""value"":900.62,""max"":900.74,""min"":900.54,""sd"":0.14}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0.03}","{""value"":4.22,""max"":4.22,""min"":4.22,""sd"":0}","{""value"":0.01,""max"":0.03,""min"":0.01,""sd"":0.03}"
"2020-09-11T14:23:47.000Z",2,"{""value"":39.93,""max"":44,""min"":34,""sd"":3.17}","{""value"":34.93,""max"":38,""min"":32,""sd"":1.83}","{""value"":24.33,""max"":26,""min"":22,""sd"":1.23}",,,,,,,,,
"2020-09-11T14:08:41.000Z",,"{""value"":32.67,""max"":44,""min"":29,""sd"":4.47}","{""value"":30.6,""max"":37,""min"":28,""sd"":2.67}","{""value"":21.07,""max"":23,""min"":20,""sd"":1.16}","{""value"":0.24,""max"":1.69,""min"":0.13,""sd"":0.26}","{""value"":82.22,""max"":85,""min"":78,""sd"":2.16}","{""value"":0,""max"":0,""min"":0,""sd"":0}","{""value"":25.23,""max"":25.35,""min"":25.06,""sd"":0.14}","{""value"":61.05,""max"":61.54,""min"":60.38,""sd"":0.43}","{""value"":900.85,""max"":901.02,""min"":900.68,""sd"":0.16}","{""value"":5.04,""max"":5.04,""min"":5.04,""sd"":0}","{""value"":4.22,""max"":4.22,""min"":4.22,""sd"":0}","{""value"":0.01,""max"":0.02,""min"":0.01,""sd"":0.02}"
